id;lat;long
9423;8.0444037;-35.0001256
20730;8.0444037;-35.0001256
20746;8.0444037;-35.0001256
20791;8.0444037;-35.0001256
20839;8.0444037;-35.0001256
20854;8.0444037;-35.0001256
20870;8.0444037;-35.0001256
20897;8.0444037;-35.0001256
20911;8.0444037;-35.0001256
20920;8.0444037;-35.0001256
20934;8.0444037;-35.0001256
20961;8.0444037;-35.0001256
20974;8.0444037;-35.0001256
21003;8.0444037;-35.0001256
21016;8.0444037;-35.0001256
21028;8.0444037;-35.0001256
21040;8.0444037;-35.0001256
21051;8.0444037;-35.0001256
21063;8.0444037;-35.0001256
21075;8.0444037;-35.0001256
21090;8.0444037;-35.0001256
21100;8.0444037;-35.0001256
21111;8.0444037;-35.0001256
21125;8.0444037;-35.0001256
21145;8.0444037;-35.0001256
21157;8.0444037;-35.0001256
21170;8.0444037;-35.0001256
21182;8.0444037;-35.0001256
21193;8.0444037;-35.0001256
21205;8.0444037;-35.0001256
21228;8.0444037;-35.0001256
21241;8.0444037;-35.0001256
21253;8.0444037;-35.0001256
21264;8.0444037;-35.0001256
21275;8.0444037;-35.0001256
21287;8.0444037;-35.0001256
21299;8.0444037;-35.0001256
21311;8.0444037;-35.0001256
21321;8.0444037;-35.0001256
21347;8.0444037;-35.0001256
21362;8.0444037;-35.0001256
21374;8.0444037;-35.0001256
21387;8.0444037;-35.0001256
21399;8.0444037;-35.0001256
21411;8.0444037;-35.0001256
21422;-7.372185900000001;-37.1866005
21432;-7.372185900000001;-37.1866005
21441;-8.8149803;-35.1928191
21450;-8.8149803;-35.1928191
21458;-8.8149803;-35.1928191
21466;-8.8149803;-35.1928191
21476;-8.8149803;-35.1928191
21484;-8.8149803;-35.1928191
21494;-8.8149803;-35.1928191
21504;-8.8149803;-35.1928191
21517;-8.8149803;-35.1928191
21530;-8.8149803;-35.1928191
21543;-8.8149803;-35.1928191
21556;-8.8149803;-35.1928191
21569;-8.8149803;-35.1928191
21583;-8.817774;-35.1928565
21597;-8.817774;-35.1928565
21611;-8.817774;-35.1928565
21625;-8.817774;-35.1928565
21639;-8.8149803;-35.1928191
21652;-8.817774;-35.1928565
21666;-8.817774;-35.1928565
21680;-8.817774;-35.1928565
21694;-8.817774;-35.1928565
21702;-8.8149803;-35.1928191
21710;-8.8149803;-35.1928191
21718;-8.8149803;-35.1928191
21726;-8.8149803;-35.1928191
21734;-8.8149803;-35.1928191
21742;-8.8149803;-35.1928191
21750;-8.8149803;-35.1928191
21758;-8.8149803;-35.1928191
21766;-8.8149803;-35.1928191
21773;-8.8149803;-35.1928191
21780;-8.8149803;-35.1928191
21788;-8.8149803;-35.1928191
21796;-8.8149803;-35.1928191
21804;-8.8149803;-35.1928191
21812;-8.8149803;-35.1928191
21820;-8.8149803;-35.1928191
21828;-8.8149803;-35.1928191
21836;-8.8149803;-35.1928191
21847;-8.8149803;-35.1928191
21858;-8.8149803;-35.1928191
21864;-8.8149803;-35.1928191
21870;-8.8149803;-35.1928191
21882;-8.8149803;-35.1928191
21894;-8.8149803;-35.1928191
21905;-8.8149803;-35.1928191
21916;-8.8149803;-35.1928191
21927;-8.8149803;-35.1928191
21940;-8.8149803;-35.1928191
21951;-8.8149803;-35.1928191
21962;-8.8149803;-35.1928191
21973;-8.8149803;-35.1928191
21980;-8.8149803;-35.1928191
21987;-8.8149803;-35.1928191
21994;-8.8149803;-35.1928191
22001;-8.8149803;-35.1928191
22008;-8.8149803;-35.1928191
22015;-8.8149803;-35.1928191
22022;-8.8149803;-35.1928191
22029;-8.8149803;-35.1928191
22036;-8.8149803;-35.1928191
22043;-8.8149803;-35.1928191
22060;-8.8149803;-35.1928191
22068;-8.8149803;-35.1928191
22078;-8.8149803;-35.1928191
22088;-8.8149803;-35.1928191
22097;-8.8149803;-35.1928191
22105;-8.8149803;-35.1928191
22113;-8.8149803;-35.1928191
22122;-8.8149803;-35.1928191
22130;-8.8149803;-35.1928191
22138;-8.8149803;-35.1928191
22146;-8.8149803;-35.1928191
22177;8.0444037;-35.0001256
22215;-8.8149803;-35.1928191
22225;-8.8149803;-35.1928191
22235;-8.8149803;-35.1928191
22245;-8.8149803;-35.1928191
22258;-8.8149803;-35.1928191
22268;-8.8149803;-35.1928191
22278;-8.8149803;-35.1928191
22289;-8.8149803;-35.1928191
22298;-8.8149803;-35.1928191
22308;-8.8149803;-35.1928191
22318;-8.8149803;-35.1928191
22325;-8.8149803;-35.1928191
22332;-8.8149803;-35.1928191
22339;-8.8149803;-35.1928191
22346;-8.8149803;-35.1928191
22353;-8.8149803;-35.1928191
22360;-8.8149803;-35.1928191
22367;-8.8149803;-35.1928191
22374;-8.8149803;-35.1928191
22381;-8.8149803;-35.1928191
22390;-8.8149803;-35.1928191
22400;-8.8149803;-35.1928191
22407;-8.8149803;-35.1928191
22414;-8.8149803;-35.1928191
22421;-8.8149803;-35.1928191
22428;-8.8149803;-35.1928191
22435;-8.8149803;-35.1928191
22442;-8.8149803;-35.1928191
22449;-8.8149803;-35.1928191
22456;-8.8149803;-35.1928191
22466;-8.8149803;-35.1928191
22475;-8.8149803;-35.1928191
22482;-8.8149803;-35.1928191
22490;-8.8149803;-35.1928191
22498;-8.8149803;-35.1928191
22505;-8.8149803;-35.1928191
22512;-8.8149803;-35.1928191
22519;-8.8149803;-35.1928191
22526;-8.8149803;-35.1928191
22534;-8.8149803;-35.1928191
22541;-8.8149803;-35.1928191
22549;-8.8149803;-35.1928191
22557;-8.8149803;-35.1928191
22565;-8.8149803;-35.1928191
22572;-8.8149803;-35.1928191
22579;-8.8149803;-35.1928191
22586;-8.8149803;-35.1928191
22593;-8.8149803;-35.1928191
22600;-8.8149803;-35.1928191
22607;-8.8149803;-35.1928191
22615;-8.8149803;-35.1928191
22623;-8.8149803;-35.1928191
22639;-8.8149803;-35.1928191
22648;-8.8149803;-35.1928191
22655;-8.8149803;-35.1928191
22664;-8.8149803;-35.1928191
22673;-8.8149803;-35.1928191
22680;-8.8149803;-35.1928191
22687;-8.8149803;-35.1928191
22694;-8.8149803;-35.1928191
22702;-8.8149803;-35.1928191
22710;-8.8149803;-35.1928191
22718;-8.8149803;-35.1928191
22727;-8.8149803;-35.1928191
22734;-8.8150586;-35.1932209
22743;-8.8150586;-35.1932209
22750;-8.8149803;-35.1928191
22758;-8.8149803;-35.1928191
22767;-8.8149803;-35.1928191
22774;-8.8149803;-35.1928191
22782;-8.8149803;-35.1928191
22804;-8.8149803;-35.1928191
22789;-8.8149803;-35.1928191
22797;-8.8149803;-35.1928191
22812;-8.8149803;-35.1928191
22819;-8.8149803;-35.1928191
22826;-8.8149803;-35.1928191
22832;-8.8149803;-35.1928191
22838;-8.8149803;-35.1928191
22844;-8.8149803;-35.1928191
22850;-8.8149803;-35.1928191
22856;-8.8149803;-35.1928191
22862;-8.8149803;-35.1928191
22868;-8.8149803;-35.1928191
22874;-8.8149803;-35.1928191
22880;-8.8149803;-35.1928191
22890;-8.8149803;-35.1928191
22898;-8.8149803;-35.1928191
22906;-8.8149803;-35.1928191
22915;-8.8149803;-35.1928191
22934;-8.8149803;-35.1928191
22949;-8.8149803;-35.1928191
22959;-8.8149803;-35.1928191
22969;-8.8149803;-35.1928191
22977;-8.8149803;-35.1928191
22987;-8.8149803;-35.1928191
22995;-8.8149803;-35.1928191
23003;-8.8149803;-35.1928191
23013;-8.8149803;-35.1928191
23022;-8.8149803;-35.1928191
23030;-8.8149803;-35.1928191
23040;-8.8149803;-35.1928191
23050;-8.8149803;-35.1928191
23058;-8.8149803;-35.1928191
23082;8.0444037;-35.0001256
23088;-8.8149803;-35.1928191
23094;-8.8149803;-35.1928191
23100;-8.8149803;-35.1928191
23106;-8.8149803;-35.1928191
23112;-8.8149803;-35.1928191
23118;-8.8149803;-35.1928191
23124;-8.8149803;-35.1928191
23130;-8.8149803;-35.1928191
23137;-8.8149803;-35.1928191
23144;-8.8149803;-35.1928191
23151;-8.8149803;-35.1928191
23158;-8.8149803;-35.1928191
23165;-8.8149803;-35.1928191
23172;-8.8149803;-35.1928191
23179;-8.818659499999999;-35.1905647
23186;-8.8149803;-35.1928191
23194;-8.8149803;-35.1928191
23201;-8.8149803;-35.1928191
23208;-8.8149803;-35.1928191
23217;-8.8149803;-35.1928191
23224;-8.8149803;-35.1928191
23231;-8.8149803;-35.1928191
23242;-8.8149803;-35.1928191
23251;-8.8149803;-35.1928191
23306;-8.8149803;-35.1928191
23313;-8.8149803;-35.1928191
23321;-8.8149803;-35.1928191
23328;-8.8149803;-35.1928191
23337;-8.8149803;-35.1928191
23344;-8.8149803;-35.1928191
23351;-8.8149803;-35.1928191
23358;-8.8149803;-35.1928191
23366;-8.8149803;-35.1928191
23374;-8.8149803;-35.1928191
23381;-8.8149803;-35.1928191
23388;-8.8149803;-35.1928191
23395;-8.8149803;-35.1928191
23402;-8.8149803;-35.1928191
23409;-8.8149803;-35.1928191
23417;-8.8149803;-35.1928191
23425;-8.8149803;-35.1928191
23431;-8.8149803;-35.1928191
23437;-8.8149803;-35.1928191
23443;-8.8149803;-35.1928191
23449;-8.8149803;-35.1928191
23455;-8.8149803;-35.1928191
