id;data_de_criacao;flag;lat;long
181448;2016-05-20;CLA442878940;-7.669499999999999;-37.4579121
181458;2016-04-19;ROS1269557317;-7.347348599999999;-37.2868284
181468;2016-04-19;ROS1269557415;-7.347348599999999;-37.2868284
181479;2016-05-17;MAR442843036;-7.4686612;-37.2746574
181489;2016-04-19;ROS1269593280;-7.347348599999999;-37.2868284
181500;2016-06-10;MAR442807198;-7.3773687;-37.4790871
181510;2016-04-19;ROS1269593381;-7.347348599999999;-37.2868284
181525;2016-05-20;CLA442807067;-7.669499999999999;-37.4579121
181535;2016-04-20;ROS1269629219;-7.347348599999999;-37.2868284
181546;2016-06-10;MAR442807060;-7.3773687;-37.4790871
181561;2016-05-23;CLA442771230;-7.669499999999999;-37.4579121
181571;2016-04-20;ROS1269629316;-7.347348599999999;-37.2868284
181586;2016-05-23;CLA442771131;-7.669499999999999;-37.4579121
181596;2016-04-20;ROS1269665129;-7.347348599999999;-37.2868284
181611;2016-05-23;CLA442735260;-7.669499999999999;-37.4579121
181623;2016-06-10;MAR442735326;-7.3773687;-37.4790871
181633;2016-04-20;ROS1269665225;-7.347348599999999;-37.2868284
181643;2016-04-20;ROS1269701034;-7.347348599999999;-37.2868284
181658;2016-05-23;CLA442735161;-7.669499999999999;-37.4579121
181669;2016-05-17;MAR442735158;-7.4686612;-37.2746574
181684;2016-05-23;CLA442699320;-7.669499999999999;-37.4579121
181694;2016-04-20;ROS1269701162;-7.347348599999999;-37.2868284
181709;2016-05-23;CLA442699224;-7.669499999999999;-37.4579121
181719;2016-04-20;ROS1269736995;-7.347348599999999;-37.2868284
181729;2016-04-20;ROS1269737068;-7.347348599999999;-37.2868284
181744;2016-05-23;CLA442663385;-7.669499999999999;-37.4579121
181759;2016-05-23;CLA442663287;-7.669499999999999;-37.4579121
181769;2016-04-22;ROS1269772932;-7.347348599999999;-37.2868284
181780;2016-04-22;ROS1269773034;-7.347348599999999;-37.2868284
181791;2016-04-22;ROS1269808875;-7.347348599999999;-37.2868284
181802;2016-05-17;MAR442627342;-7.4686612;-37.2746574
181813;2016-06-10;MAR442591506;-7.3773687;-37.4790871
181824;2016-05-17;MAR442591404;-7.4686612;-37.2746574
181835;2016-06-10;MAR444100860;-7.3773687;-37.4790871
181845;2016-04-15;IRA1269880843;-7.347348599999999;-37.2868284
181857;2016-06-10;MAR444064922;-7.3773687;-37.4790871
181868;2016-05-18;MAR444029053;-7.4686612;-37.2746574
181878;2016-04-18;IRA1270743306;-7.347348599999999;-37.2868284
181888;2016-04-18;IRA1270779172;-7.347348599999999;-37.2868284
181898;2016-04-18;IRA1270779269;-7.347348599999999;-37.2868284
181909;2016-05-18;MAR443993047;-7.4686612;-37.2746574
181919;2016-04-18;IRA1270815081;-7.347348599999999;-37.2868284
181929;2016-04-18;IRA1270815175;-7.347348599999999;-37.2868284
181939;2016-04-19;IRA1270851015;-7.347348599999999;-37.2868284
181950;2016-05-18;MAR443921205;-7.4686612;-37.2746574
181961;2016-04-19;IRA1270851181;-7.347348599999999;-37.2868284
181971;2016-04-19;IRA1270887048;-7.347348599999999;-37.2868284
181982;2016-06-10;MAR443885308;-7.3773687;-37.4790871
181992;2016-04-19;IRA1270922889;-7.347348599999999;-37.2868284
182003;2016-05-18;MAR443885136;-7.4686612;-37.2746574
182014;2016-04-15;AMA1270994763;-7.347348599999999;-37.2868284
182024;2016-04-15;AMA1270994891;-7.347348599999999;-37.2868284
182035;2016-04-17;AMA1271030793;-7.347348599999999;-37.2868284
182046;2016-05-18;MAR445286812;-7.4686612;-37.2746574
182056;2016-04-14;AMA1271030867;-7.347348599999999;-37.2868284
182067;2016-05-18;MAR445250911;-7.4686612;-37.2746574
182078;2016-04-15;AMA1271066730;-7.347348599999999;-37.2868284
182088;2016-04-15;AMA1738685729;-7.347348599999999;-37.2868284
182099;2016-05-18;MAR445250742;-7.4686612;-37.2746574
182110;2016-04-15;AMA1738685626;-7.347348599999999;-37.2868284
182121;2016-05-18;MAR445214840;-7.4686612;-37.2746574
182132;2016-04-14;AMA1738649762;-7.347348599999999;-37.2868284
182143;2016-04-14;AMA1738649661;-7.347348599999999;-37.2868284
182154;2016-04-18;AMA1738613820;-7.347348599999999;-37.2868284
182164;2016-04-15;AMA1738613720;-7.347348599999999;-37.2868284
182175;2016-04-15;AMA1738577857;-7.347348599999999;-37.2868284
182186;2016-04-15;AMA1738577755;-7.347348599999999;-37.2868284
182197;2016-04-18;AMA1738541917;-7.347348599999999;-37.2868284
182207;2016-04-15;AMA1738506040;-7.347348599999999;-37.2868284
182218;2016-04-15;AMA1738505915;-7.347348599999999;-37.2868284
182229;2016-05-13;LUC444999318;-7.4686612;-37.2746574
182240;2016-05-13;LUC444963416;-7.4686612;-37.2746574
182252;2016-05-13;LUC1730825214;-7.4686612;-37.2746574
182263;2016-05-13;LUC1730825082;-7.4686612;-37.2746574
182285;2016-05-13;LUC1730753273;-7.4686612;-37.2746574
182296;2016-05-16;LUC1730717403;-7.4686612;-37.2746574
182307;2016-05-16;LUC1730645525;-7.4686612;-37.2746574
182318;2016-05-16;LUC1730609428;-7.4686612;-37.2746574
182329;2016-05-16;LUC1730537680;-7.4686612;-37.2746574
182340;2016-04-15;AMA1737176277;-7.347348599999999;-37.2868284
182350;2016-04-15;AMA1736313884;-7.347348599999999;-37.2868284
182357;2016-05-12;MIR1735245394;-8.8149803;-35.1928191
182365;2016-06-08;SOL1736718713;-8.8149803;-35.1928191
182376;2016-05-17;LUC271521064;-7.4686612;-37.2746574
182387;2016-05-17;LUC271485094;-7.4686612;-37.2746574
182398;2016-05-17;LUC1025589107;-7.4686612;-37.2746574
182409;2016-05-17;LUC1025625043;-7.4686612;-37.2746574
182420;2016-05-18;LUC1025624885;-7.4686612;-37.2746574
182431;2016-05-18;LUC1025660915;-7.4686612;-37.2746574
182442;2016-05-18;LUC1025696892;-7.4686612;-37.2746574
182453;2016-05-18;LUC1025768662;-7.4686612;-37.2746574
182475;2016-05-19;LUC1025840640;-7.4686612;-37.2746574
182486;2016-05-19;LUC1025840509;-7.4686612;-37.2746574
182497;2016-05-19;LUC1025876478;-7.4686612;-37.2746574
182508;2016-05-19;LUC1025912479;-7.4686612;-37.2746574
182519;2016-05-02;ELI1024654651;-7.4686612;-37.2746574
182532;2016-05-02;ELI1023396951;-7.4686612;-37.2746574
182542;2016-04-11;JOA1023540601;-7.804419800000001;-37.7944521
182554;2016-05-02;ELI1022210902;-7.4686612;-37.2746574
182562;2016-04-11;JOA1022031247;-7.804419800000001;-37.7944521
182572;2016-04-11;JOA1022067220;-7.804419800000001;-37.7944521
182583;2016-05-02;ELI1020845431;-7.4686612;-37.2746574
182593;2016-04-11;JOA1022246870;-7.804419800000001;-37.7944521
182605;2016-05-02;ELI1020917230;-7.4686612;-37.2746574
182618;2016-05-02;ELI1020989172;-7.4686612;-37.2746574
182630;2016-05-03;ELI1021025074;-7.4686612;-37.2746574
182643;2016-05-03;ELI1021060881;-7.4686612;-37.2746574
182654;2016-05-03;ELI1021168797;-7.4686612;-37.2746574
182665;2016-05-03;ELI1019695446;-7.4686612;-37.2746574
182675;2016-04-11;JOA1021096982;-7.804419800000001;-37.7944521
182685;2016-04-11;JOA1021132924;-7.804419800000001;-37.7944521
182697;2016-05-03;ELI1019767186;-7.4686612;-37.2746574
182707;2016-04-12;JOA1021132758;-7.804419800000001;-37.7944521
182718;2016-05-03;ELI1019839159;-7.4686612;-37.2746574
182728;2016-04-12;JOA1019659473;-7.804419800000001;-37.7944521
182738;2016-04-12;JOA1019695344;-7.804419800000001;-37.7944521
182749;2016-05-04;ELI1019947003;-7.4686612;-37.2746574
182759;2016-04-12;JOA1019731214;-7.804419800000001;-37.7944521
182770;2016-05-04;ELI1019982844;-7.4686612;-37.2746574
182781;2016-05-04;ELI1977910351;-7.4686612;-37.2746574
182791;2016-04-13;JOA1019839121;-7.804419800000001;-37.7944521
182802;2016-05-04;ELI1977838342;-7.4686612;-37.2746574
182814;2016-05-04;ELI1977802441;-7.4686612;-37.2746574
182824;2016-04-11;JOA1977910213;-7.804419800000001;-37.7944521
182836;2016-05-05;ELI1977694627;-7.4686612;-37.2746574
182848;2016-05-05;ELI1977658759;-7.4686612;-37.2746574
182863;2016-06-07;ANA1977622824;-7.669499999999999;-37.4579121
182873;2016-04-13;JOA1977802569;-7.804419800000001;-37.7944521
182888;2016-06-07;ANA1979096137;-7.669499999999999;-37.4579121
182898;2016-04-13;JOA1977766569;-7.804419800000001;-37.7944521
182913;2016-06-07;ANA1979096274;-7.669499999999999;-37.4579121
182928;2016-06-07;ANA1979060271;-7.669499999999999;-37.4579121
